angles,alemany,catala,espanyol,frances,italia,polones,portugues,rus,suec
as,wie,com,como,comme,come,jak,Como,в качестве,som
his,seine,seva,su,le sien,il suo,jego,seu,его,hans
that,das,que,que,ce,Quello,że,este,что,den där
he,er,ell,él,il,lui,on,ele,он,han
was,war,era,estaba,a été,era,był,foi,был,var
for,zum,per,por,pour,per,dla,por,за,för
on,an,en,en,sur,Su,na ,sobre,на,på
are,sind,són,son,sommes,sono,są,são,находятся,are
with,mit,amb,con,avec,insieme a,z,com,с,med
they,sie,que,ellos,elles ou ils,essi,one,elas,Oни,de
be,sein,ser,ser,être,essere,być,ser,быть,vara
at,bei,en,a,à,a,w,no,в,på
one,eines,significarà,una,une,uno,jeden,um,один,ett
have,haben,tenir,tener,ont,avere,mieć,tenho,имеют,ha
this,Dies,aquest,este,cette,questo,ten,isto,это,detta
from,aus,des,de,de,da,z,a partir de,из,från
by,durch,per,por,par,di,za pomocą,por,по,förbi
hot,heiß,calenta,caliente,chaud,piccante,gorący,quente,горячий,varm
word,Wort,paraula,palabra,mot,parola,słowo,palavra,слово,ord
but,aber,però,pero,mais,ma,ale,mas,но,men
what,was,ho,qué,Quel,che cosa,Co,o que,какие,Vad
some,etwas,alguns,alguno,quelques,alcuni,niektóre,algum,немного,några
is,ist,és,es,est,è,jest,é,является,är
it,es,el,eso,ce,esso,to,isto,Это,Det
you,Sie,vostè,tú,tu,voi,ty,vocês,ты,du
or,oder,o,o,ou,o,lub,ou,или же,eller
had,hatte,tingut,tenido,avais,avevo,miał,teve,было,ha
the,das,la,la,la,il,the,a,а,de
of,von,d’,de,de,di,z,do,из,av
to,zu,a,a,à,a,do,para,к,till
and,und,i,y,et,e,oraz,e,а также,och
a,a,ella,a,un,un,a,uma,а,en
in,in,en,en,dans,in,w,dentro,в,i
we,wir,nosaltres,nosotros,nous,noi,my,nós,мы,vi
can,kann,pot,pueden,boîte,Potere,Móc,posso,Можно,burk
out,aus,sortida,afuera,dehors,fuori,na zewnątrz,Fora,вне,ut
other,Sonstiges,altre,otro,autre,Altro,inny,outro,Другой,Övrig
were,war,eren,fueron,étaient,erano,byli,nós estamos,мы,var
which,die,que,cual,qui,quale,który,que,который,som
do,tun,fer,hacer,fais,fare,robić,Faz,делать,do
their,ihr,seva,sus,leur,i loro,ich,seus,их,deras
time,Zeit,temps,tiempo,temps,volta,czas,Tempo,время,tid
if,wenn,si,si,si,Se,jeśli,E se,если,om
will,Wille,farà,voluntad,sera,volere,będzie,vai,будут,kommer
how,wie,com,cómo,comment,come,Jak,Como as,как,hur
said,sagte,dit,dijo,a dit,disse,powiedział,disse,сказал,nämnda
an,ein,ocupat,un,un,un,jakiś,um,атмосфера,en
each,jeder,cada,cada,chaque,a testa,każdy,cada,каждый,varje
tell,erzählen,dir,decir,raconter,raccontare,powiedzieć,dizer,сказать,säga
does,tut,fa,lo hace,Est-ce que,fa,czy,faz,делает,göra
set,einstellen,conjunt,establecer,Positionner,impostare,ustawić,definir,установлен,uppsättning
three,drei,mar,Tres,Trois,tre,trzy,três,три,tre
want,wollen,voler,desear,vouloir,volere,chcieć,querer,хочу,vilja
air,Luft,aire,aire,air,aria,powietrze,ar,воздуха,luft
well,Gut,bé,bien,bien,bene,dobrze,Nós vamos,Что ж,väl
also,Auch,també,además,aussi,anche,Również,também,также,också
play,abspielen,jugar,desempeñar,jouer,giocare a,bawić się,Toque,играть в,spela
small,klein,petit,pequeña,petit,piccolo,mały,pequena,маленький,små
end,Ende,fi,final,fin,fine,koniec,fim,конец,slutet
put,stellen,posar,poner,mettre,mettere,położyć,colocar,помещать,sätta
home,Heimat,casa,hogar,domicile,casa,Dom,casa,дом,Hem
read,lesen,llegir,leer,lis,leggere,czytać,ler,читать,läsa
hand,Hand,mà,mano,main,mano,ręka,mão,рука,hand
port,Hafen,port,Puerto,Port,porta,Port,porta,порт,hamn
