angles,catala,espanyol,alemany,frances,polones,portugues,romanes,italia,suec
as,com,como,wie,comme,jak,Como,la fel de,come,som
his,seva,su,seine,le sien,jego,seu,a lui,il suo,hans
that,que,que,das,ce,że,este,acea,Quello,den där
he,ell,él,er,il,on,ele,el,lui,han
was,era,estaba,war,a été,był,foi,a fost,era,var
for,per,por,zum,pour,dla,por,pentru,per,för
on,en,en,an,sur,na ,sobre,pe,Su,på
are,són,son,sind,sommes,są,são,sunteți,sono,are
with,amb,con,mit,avec,z,com,cu,insieme a,med
they,que,ellos,sie,elles ou ils,one,elas,ei,essi,de
be,ser,ser,sein,être,być,ser,fi,essere,vara
at,en,a,bei,à,w,no,la,a,på
one,significarà,una,eines,une,jeden,um,unu,uno,ett
have,tenir,tener,haben,ont,mieć,tenho,avea,avere,ha
this,aquest,este,Dies,cette,ten,isto,acest,questo,detta
from,des,de,aus,de,z,a partir de,din,da,från
by,per,por,durch,par,za pomocą,por,de,di,förbi
hot,calenta,caliente,heiß,chaud,gorący,quente,Fierbinte,piccante,varm
word,paraula,palabra,Wort,mot,słowo,palavra,cuvânt,parola,ord
but,però,pero,aber,mais,ale,mas,dar,ma,men
what,ho,qué,was,Quel,Co,o que,ce,che cosa,Vad
some,alguns,alguno,etwas,quelques,niektóre,algum,niste,alcuni,några
is,és,es,ist,est,jest,é,este,è,är
it,el,eso,es,ce,to,isto,aceasta,esso,Det
you,vostè,tú,Sie,tu,ty,vocês,tu,voi,du
or,o,o,oder,ou,lub,ou,sau,o,eller
had,tingut,tenido,hatte,avais,miał,teve,a avut,avevo,ha
the,la,la,das,la,the,a,cel,il,de
of,d’,de,von,de,z,do,de,di,av
to,a,a,zu,à,do,para,la,a,till
and,i,y,und,et,oraz,e,și,e,och
a,ella,a,a,un,a,uma,A,un,en
in,en,en,in,dans,w,dentro,în,in,i
we,nosaltres,nosotros,wir,nous,my,nós,noi,noi,vi
can,pot,pueden,kann,boîte,Móc,posso,poate sa,Potere,burk
out,sortida,afuera,aus,dehors,na zewnątrz,Fora,afară,fuori,ut
other,altre,otro,Sonstiges,autre,inny,outro,alte,Altro,Övrig
were,eren,fueron,war,étaient,byli,nós estamos,au fost,erano,var
which,que,cual,die,qui,który,que,care,quale,som
do,fer,hacer,tun,fais,robić,Faz,do,fare,do
their,seva,sus,ihr,leur,ich,seus,al lor,i loro,deras
time,temps,tiempo,Zeit,temps,czas,Tempo,timp,volta,tid
if,si,si,wenn,si,jeśli,E se,dacă,Se,om
will,farà,voluntad,Wille,sera,będzie,vai,voi,volere,kommer
how,com,cómo,wie,comment,Jak,Como as,Cum,come,hur
said,dit,dijo,sagte,a dit,powiedział,disse,spus,disse,nämnda
an,ocupat,un,ein,un,jakiś,um,un,un,en
each,cada,cada,jeder,chaque,każdy,cada,fiecare,a testa,varje
tell,dir,decir,erzählen,raconter,powiedzieć,dizer,spune,raccontare,säga
does,fa,lo hace,tut,Est-ce que,czy,faz,face,fa,göra
set,conjunt,establecer,einstellen,Positionner,ustawić,definir,a stabilit,impostare,uppsättning
three,mar,Tres,drei,Trois,trzy,três,Trei,tre,tre
want,voler,desear,wollen,vouloir,chcieć,querer,vrei,volere,vilja
air,aire,aire,Luft,air,powietrze,ar,aer,aria,luft
well,bé,bien,Gut,bien,dobrze,Nós vamos,bine,bene,väl
also,també,además,Auch,aussi,Również,também,de asemenea,anche,också
play,jugar,desempeñar,abspielen,jouer,bawić się,Toque,Joaca,giocare a,spela
small,petit,pequeña,klein,petit,mały,pequena,mic,piccolo,små
end,fi,final,Ende,fin,koniec,fim,Sfârşit,fine,slutet
put,posar,poner,stellen,mettre,położyć,colocar,a pune,mettere,sätta
home,casa,hogar,Heimat,domicile,Dom,casa,Acasă,casa,Hem
read,llegir,leer,lesen,lis,czytać,ler,citit,leggere,läsa
hand,mà,mano,Hand,main,ręka,mão,mână,mano,hand
port,port,Puerto,Hafen,Port,Port,porta,port,porta,hamn
large,gran,largo,groß,grand,wielki,ampla,mare,di grandi dimensioni,stor
spell,lletrejar,deletrear,Fluch,sort,zaklęcie,soletrar,vraja,sillabare,stava
add,afegir,agregar,hinzufügen,ajouter,Dodaj,adicionar,adăuga,Inserisci,Lägg till
land,terra,tierra,Land,terrain,grunt,terra,teren,terra,landa
here,aquí,aquí,hier,ici,tutaj,aqui,Aici,qui,här
must,ha,deber,muss,devoir,musi,devo,trebuie sa,dovere,måste
big,gran,grande,groß,gros,duża,grande,mare,grande,stor
high,alta,alto,hoch,haute,wysoki,Alto,înalt,alto,hög
such,tals,tal,eine solche,tel,taki,tal,astfel de,tale,sådan
follow,segueixi,seguir,Folgen,suivre,śledzić,Segue,urma,Seguire,Följ
act,acte,Actuar,Handlung,loi,akt,Aja,act,atto,spela teater
ask,preguntar,pedir,Fragen,interroger,zapytać się,perguntar,cere,Chiedi,fråga
men,homes,hombres,Männer,Hommes,mężczyźni,homens,bărbați,uomini,män
change,canvi,cambio,Rückgeld,monnaie,zmiana,mudança,Schimbare,modificare,förändra
light,llum,luz,hell,lumière,światło,leve,ușoară,luce,ljus
kind,tipus,tipo,nett,gentil,uprzejmy,Gentil,drăguț,tipo,snäll
off,off,apagado,aus,à l'arrêt,wyłączony,desligado,OFF,spento,av
need,necessitarà,necesitar,brauchen,besoin,potrzebować,precisar,nevoie,bisogno,behöver
house,casa,casa,Haus,loger,dom,lar,casă,Casa,hus
picture,foto,imagen,Bild,image,obrazek,foto,imagine,immagine,bild
try,tractar,probar,Versuchen,essayer,próbować,tentar,încerca,Tentativo,Prova
us,nosaltres,a nosotros,uns,nous,nas,nós,ne,noi,oss
again,nou,otra vez,wieder,encore,ponownie,novamente,din nou,ancora,om igen
animal,animals,animal,Tier,animal,zwierzę,animal,animal,animale,djur-
point,punt,punto,Punkt,indiquer,punkt,ponto,punct,punto,punkt
mother,mare,madre,Mutter,mère,matka,mãe,mamă,madre,mor
world,món,mundo,Welt,monde,świat,mundo,lume,mondo,värld
near,prop,cerca,nahe,à proximité,Blisko,aproximar,aproape,vicino,nära
build,construir,construir,bauen,construire,budować,construir,construi,costruire,bygga
self,acte,uno mismo,selbst,soi,samego siebie,auto,de sine,se stesso,själv
earth,terra,tierra,Erde,la terre,Ziemia,terra,Pământ,terra,jord
father,pare,padre,Vater,père,ojciec,pai,Tată,padre,far
any,qualsevol,ningún,irgendein,n'importe quel,każdy,algum,orice,qualunque,några
new,nou,nuevo,Neu,Nouveau,Nowy,novo,nou,nuovo,ny
work,treball,trabajar,Arbeit,travailler,praca,trabalhar,muncă,opera,arbete
part,part,parte,Teil,partie,część,papel,parte,parte,del
take,prendre,tomar,nehmen,prendre,Brać,leva,lua,prendere,ta
get,aconseguir,obtener,erhalten,obtenir,Dostawać,pegue,obține,ottenere,skaffa sig
place,lloc,lugar,Platz,place,miejsce,lugar,loc,posto,plats
made,fet,hecha,gemacht,fabriqué,zrobiony,feito,făcut,fatto,gjord
live,viure,En Vivo,live,Direct,relacja na żywo,viver,Trăi,abitare,leva
where,on,dónde,wo,où,gdzie,Onde,Unde,dove,var
after,després,después,nach,après,po,depois,după,dopo,efter
back,esquena,espalda,der Rücken,retour,plecy,de volta,înapoi,Indietro,tillbaka
little,poc,poco,wenig,peu,mały,pequena,puțin,piccolo,liten
only,només,solamente,nur,seulement,tylko,só,numai,solo,endast
round,ronda,redondo,runden,tour,okrągły,redondo,rundă,il giro,runda
man,home,hombre,Mann,homme,facet,cara,om,uomo,man
year,anys,año,Jahr,an,rok,ano,an,anno,år
came,vi,vino,kam,est venu,przyszło,veio,a venit,è venuto,kom
show,espectacle,mostrar,Show,Afficher,pokazać,mostrar,spectacol,mostrare,show
every,cada,cada,jeder,tous,każdy,todo,fiecare,ogni,varje
good,bona,bueno,gut,bien,Dobry,Boa,bun,Buona,Bra
me,em,yo,mich,moi,ja,Eu,pe mine,me,mig
give,donar,dar,geben,donner,dawać,dar,da,dare,ge
our,nostra,nuestro,unser,notre,nasz,nosso,al nostru,i nostri,vår
under,sota,por debajo,unter,en dessous de,pod ,debaixo,sub,sotto,under
name,nom,nombre,Name,Nom,Nazwa,nome,Nume,nome,namn
very,molt,muy,sehr,très,bardzo,muito,foarte,molto,mycket
through,través,mediante,durch,à travers,poprzez,Através dos,prin,attraverso,genom
just,només,sólo,nur,juste,tylko,apenas,doar,Appena,bara
form,forma,forma,bilden,formulaire,Formularz,Formato,formă,modulo,form
sentence,frase,frase,Satz,phrase,wyrok,frase,propoziție,frase,mening
great,gran,estupendo,Großartig,génial,Świetnie,excelente,Grozav,grande,bra
think,pensar,pensar,denken,pense,myśleć,acho,gândi,pensare,tror
say,dir,decir,sagen,dire,mówić,dizer,Spune,dire,säga
help,ajudar,ayuda,Hilfe,aider,Wsparcie,ajuda,Ajutor,aiuto,hjälp
low,sota,bajo,niedrig,bas,niski,baixo,scăzut,basso,låg
line,línia,línea,Linie,ligne,linia,linha,linia,linea,linje
differ,diferir,diferir de,abweichen,différer,różnić się,diferir,diferă,differire,skilja sig
cause,causa,causa,weil,cause,przyczyna,causa,cauză,causa,orsak
much,molt,mucho,viel,beaucoup,dużo,Muito de,mult,tanto,mycket
mean,significarà,significar,bedeuten,moyenne,oznaczać,significa,Rău,significare,betyda
before,abans,antes de,Vor,avant de,zanim,antes da,inainte de,prima,innan
move,moviment,Muevete,Bewegung,mouvement,ruszaj się,jogada,mutare,muoversi,flytta
right,dret,Correcto,Rechts,droit,prawo,certo,dreapta,Giusto,höger
boy,nen,chico,Junge,garçon,chłopak,Garoto,băiat,ragazzo,pojke
old,edat,antiguo,alt,Agé de,stary,velho,vechi,vecchio,gammal
too,massa,también,zu,aussi,także,também,de asemenea,anche,för
same,mateixa,mismo,gleich,même,to samo,mesmo,la fel,stesso,samma
she,ella,ella,sie,elle,Ona,ela,ea,lei,hon
all,tot,todos,alle,tout,wszystko,tudo,toate,tutto,Allt
there,hi,allá,dort,là,tam,lá,Acolo,là,där
when,quan,cuando,Wenn,lorsque,gdy,quando,când,quando,när
up,fins,arriba,hoch,en haut,w górę,acima,sus,su,upp
use,ús,usar,verwenden,utilisation,posługiwać się,usar,utilizare,uso,använda sig av
your,seva,su,dein,ton,twój,sua,ta,tuo,din
way,camí,camino,Weg,façon,droga,caminho,cale,modo,sätt
about,sobre,sobre,um,sur,o,cerca de,despre,di,handla om
many,molts,muchos,viele,de nombreux,wiele,muitos,mulți,molti,många
then,continuació,después,dann,alors,następnie,então,apoi,poi,sedan
them,ells,a ellos,Sie,leur,ich,eles,lor,loro,dem
write,escriure,escribe,schreiben,écrivez,pisać,Escreva,scrie,scrivere,skriva
would,faria,haría,möchten,aurait,zrobiłbym,gostaria,ar,voluto,skulle
like,com,me gusta,wie,Comme,tak jak,Curti,ca,piace,tycka om
so,així,asi que,Also,alors,więc,assim,asa de,Così,så
these,aquests,estas,diese,ces,te,esses,aceste,queste,dessa
her,seva,su,Sie,son,ją,sua,a ei,suo,henne
long,llarg,largo,lang,long,długie,grandes,lung,lungo,lång
make,fer,hacer,machen,Fabriquer,robić,faço,face,rendere,göra
thing,cosa,cosa,Ding,chose,rzecz,coisa,lucru,cosa,sak
see,veure,ver,sehen,voir,Widzieć,Vejo,vedea,vedere,ser
him,ell,a él,ihn,lui,jego,dele,-l,lui,honom
two,dos,dos,zwei,deux,dwa,dois,Două,Due,två
has,té,posee,hat,a,ma,tem,are,ha,har
look,buscar,Mira,sehen,voir,wyglądać,olhar,uite,Guarda,se
more,més,más,mehr,Suite,jeszcze,mais,Mai mult,Di più,Mer
day,dia,día,Tag,journée,dzień,dia,zi,giorno,dag
could,podia,pudo,könnte,pourrait,mógłby,poderia,ar putea,Potevo,skulle kunna
go,anar,Vamos,gehen,aller,iść,vai,merge,andare,gå
come,venir,venir,Kommen Sie,viens,chodź,venha,vino,venire,komma
number,nombre,número,Nummer,Numéro,numer,número,număr,numero,siffra
sound,so,sonido,Klang,du son,dźwięk,som,sunet,suono,ljud
no,no,no,nein,non,nie,não,Nu,No,Nej
most,més,la mayoría,die meisten,plus,bardzo,a maioria,cel mai,più,mest
people,persones,gente,Personen,personnes,ludzie,pessoas,oameni,le persone,människor
my,meu,mi,mein,ma,mój,minha,Ale mele,mio,min
over,sobre,sobre,Über,plus de,koniec,sobre,peste,Sopra,över
know,saber,saber,kennt,connaître,wiedzieć,conhecer,Cunoaște,sapere,känna till
water,aigua,agua,Wasser,l'eau,woda,agua,apă,acqua,vatten
than,que,que,als,que,niż,do que,decât,di,än
call,anomenada,llamar,Anruf,appel,połączenie,ligar,apel,chiamata,ringa upp
first,primer,primero,Erste,première,pierwszy,primeiro,primul,primo,först
who,que,quién,wer,qui,kto,quem,OMS,chi,WHO
may,pot,mayo,kann,peut,może,poderia,Mai,Maggio,Maj
down,baix,abajo,Nieder,vers le bas,na dół,baixa,jos,fuori uso,ner
side,costat,lado,Seite,côté,bok,lado,latură,lato,sida
been,estat,estado,gewesen,a été,został,estive,a fost,stato,varit
now,ara,ahora,jetzt,à présent,Teraz,agora,acum,adesso,nu
find,trobar,encontrar,finden,trouver,odnaleźć,achar,găsi,trova,hitta
head,cap,cabeza,Kopf,tête,głowa,cabeça,cap,testa,huvud
own,propi,propio,besitzen,posséder,własny,ter,propriu,possedere,egen
page,pàgina,página,Seite,page,strona,página,pagină,pagina,sida
should,ha,debería,sollte,devrait,powinien,deve,ar trebui să,dovrebbe,skall
country,país,país,Land,pays,kraj,país,țară,nazione,Land
found,trobat,fundar,gefunden,trouvé,znaleziony,encontrado,găsite,fondare,hittades
answer,resposta,responder,Antworten,réponse,odpowiadać,responda,Răspuns,Rispondere,svar
school,escola,escuela,Schule,école,szkoła,escola,şcoală,scuola,skola
grow,créixer,crecer,größer werden,grandir,rosnąć,crescer,se dezvolta,crescere,växa
study,estudi,estudiar,lernen,étude,nauka,estudar,studiu,studia,studie
still,encara,todavía,still,toujours,nadal,ainda,încă,ancora,fortfarande
learn,aprendre,aprender,lernen,apprendre,uczyć się,aprender,învăța,imparare,lära sig
plant,planta,planta,Pflanze,plante,zakład,plantar,plantă,pianta,växt
cover,coberta,cubrir,Startseite,couverture,pokrywa,cobrir,acoperi,coperchio,omslag
food,aliments,alimento,Lebensmittel,aliments,jedzenie,Comida,alimente,cibo,mat
sun,sol,sol,Sonne,Soleil,słońce,Sol,soare,sole,Sol
four,saber,cuatro,vier,quatre,cztery,quatro,Patru,quattro,fyra
between,entre,Entre,zwischen,entre,pomiędzy,entre,între,fra,mellan
state,estat,estado,Zustand,Etat,państwo,Estado,stat,stato,stat
keep,mantenir,mantener,behalten,donjon,trzymać,guarda,a pastra,mantenere,ha kvar
eye,ull,ojo,Auge,œil,oko,olho,ochi,occhio,öga
never,mai,nunca,noch nie,jamais,nigdy,Nunca,nu,mai,aldrig
last,última,ultimo,letzte,dernière,ostatni,último,ultimul,Ultimo,sista
let,deixar,dejar,Lassen,laisser,wynajmować,deixar,lăsa,permettere,låta
thought,pensat,pensamiento,Gedanke,pensait,myśl,pensamento,gând,pensiero,trodde
city,ciutat,ciudad,Stadt,ville,Miasto,cidade,oraș,città,stad
tree,arbre,árbol,Baum,arbre,drzewo,árvore,copac,albero,träd
cross,creuar,cruz,Kreuz,traverser,krzyż,Cruz,cruce,attraverso,korsa
farm,granja,granja,Bauernhof,cultiver,gospodarstwo rolne,Fazenda,fermă,azienda agricola,odla
hard,dur,difícil,schwer,dur,ciężko,duro,greu,difficile,hård
start,inici,comienzo,Anfang,début,początek,começar,start,inizio,Start
might,podria,puede que,könnte,force,móc,poderia,ar putea,potrebbe,makt
story,història,historia,Geschichte,histoire,fabuła,história,poveste,storia,berättelse
saw,serra,sierra,gesehen,vu,widział,viu,a văzut,sega,fick syn på
far,ara,lejos,weit,loin,daleko,distante,departe,lontano,långt
sea,mar,mar,Meer,mer,morze,mar,mare,mare,hav
draw,dibuixar,dibujar,zeichnen,dessiner,remis,empate,a desena,disegno,dra
left,esquerra,izquierda,links,la gauche,lewy,deixei,stânga,sinistra,vänster
late,tarda,tarde,spät,en retard,późno,tarde,târziu,tardi,sent
run,run,correr,Lauf,Cours,biegać,corre,alerga,correre,springa
don’t,no,no,nicht,ne le faites pas,Nie,não,Nu,non,inte
while,mentre,tiempo,während,tandis que,podczas gdy,enquanto,in timp ce,mentre,medan
press,premsa,prensa,Drücken Sie,presse,naciśnij,pressione,presa,stampa,Tryck
close,prop,cerca,nah dran,proche,blisko,perto,închide,chiudere,stänga
night,nit,noche,Nacht,nuit,noc,noite,noapte,notte,natt
real,reals,real,real,réel,prawdziwy,real,real,vero,verklig
life,vida,vida,Leben,la vie,życie,vida,viaţă,vita,liv
few,pocs,pocos,wenig,peu,mało,alguns,puțini,pochi,få
north,nord,norte,Norden,Nord,północ,norte,Nord,nord,norr
book,llibre,libro,Buchen,livre,książka,livro,carte,prenotare,bok
carry,portar,llevar,tragen,porter,mieć przy sobie,carregar,transporta,trasportare,bära
took,prendre,tomó,nahm,ont pris,wzięła,tomou,a luat,ha preso,tog
science,ciència,Ciencias,Wissenschaft,la science,nauki ścisłe,Ciência,ştiinţă,scienza,vetenskap
eat,menjar,comer,Essen,manger,jeść,comer,mânca,mangiare,äta
room,habitació,habitación,Zimmer,chambre,Pokój,quarto,cameră,camera,rum
friend,amic,amigo,Freund,ami,przyjaciel,amigo,prieten,amico,vän
began,començar,empezó,begann,a commencé,zaczął się,começou,au inceput,iniziò,påbörjade
idea,idea,ocurrencia,Idee,idée,pomysł,idéia,idee,idea,aning
fish,peixos,pez,Fische,poisson,ryba,peixe,peşte,pesce,fisk
mountain,muntanya,montaña,Berg,Montagne,Góra,montanha,Munte,montagna,fjäll
stop,aturi,deténgase,Pause,arrêt,Zatrzymaj się,Pare,Stop,fermare,sluta
once,uncop,una vez,einmal,une fois que,raz,uma vez,o singura data,una volta,en gång
base,base,base,Base,base,baza,base,baza,base,bas
hear,escoltar,oír,hören,écouter,słyszeć,ouvir,auzi,ascoltare,höra
horse,cavall,caballo,Pferd,cheval,koń,cavalo,cal,cavallo,häst
cut,tall,Corte,schneiden,Couper,skaleczenie,cortar,a tăia,tagliare,skära
sure,segur,Por supuesto,sicher,Bien sur,Jasne,claro,sigur,sicuro,Säker
watch,veure,reloj,Uhr,Regardez,zegarek,ver,ceas,guarda,Kolla på
colour,color,color,Farbe,Couleur,kolor,cor,culoare,colore,Färg
face,cara,cara,Gesicht,Visage,Twarz,enfrentar,față,viso,ansikte
wood,fusta,madera,Holz,bois,drewno,madeira,lemn,Di legno,trä
main,principal,principal,hauptsächlich,principale,Główny,a Principal,principal,principale,huvudsaklig
open,oberta,abierto,offen,ouvert,otwarty,abrir,deschis,aprire,öppna
seem,sembla,parecer,erscheinen,sembler,wydać się,parecer,par,sembrare,verka
together,junts,juntos,zusammen,ensemble,razem,juntos,împreună,insieme,tillsammans
next,següent,Siguiente,nächste,Suivant,następny,próximo,Următorul,prossimo,Nästa
white,blanc,blanco,Weiß,blanche,biały,branco,alb,bianca,vit
children,nens,niños,Kinder,enfants,dzieci,crianças,copii,figli,barn
begin,començar,empezar,Start,commencer,zaczynać,começar,ÎNCEPE,inizio,Börja
got,aconseguit,obtuvo,habe,a obtenu,dostał,pegou,a primit,avuto,gett
walk,caminar,caminar,Spaziergang,marche,spcerować,andar,mers pe jos,camminare,promenad
example,exemple,ejemplo,Beispiel,Exemple,przykład,exemplo,exemplu,esempio,exempel
ease,alleujar,facilitar,Leichtigkeit,faciliter,łatwość,facilidade,uşura,sollievo,lätthet
paper,paper,papel,Papier,papier,papier,papel,hârtie,carta,papper
group,grup,grupo,Gruppe,groupe,Grupa,grupo,grup,gruppo,grupp
always,sempre,siempre,stets,toujours,zawsze,sempre,mereu,sempre,alltid
music,música,música,Musik,musique,muzyka,música,muzică,musica,musik
those,els,aquellos,diese,ceux,tych,Essa,acestea,quelli,de där
both,tant,ambas cosas,beide,tous les deux,Zarówno,Ambas,ambii,Entrambi,både
mark,marca,Marcos,Kennzeichen,marque,znak,marca,marcă,marchio,markera
often,sovint,con frecuencia,häufig,souvent,często,muitas vezes,de multe ori,Spesso,ofta
letter,carta,carta,Buchstabe,lettre,list,carta,scrisoare,lettera,brev
until,fins,Hasta que,bis um,jusqu'à,aż do,até,pana cand,Fino a,fram tills
mile,milla,milla,Meile,mile,Mila,milha,mile,miglio,mile
river,riu,río,Fluss,fleuve,rzeka,rio,râu,fiume,flod
car,cotxe,coche,Wagen,auto,samochód,carro,mașină,macchina,bil
feet,peus,pies,Fuß,pieds,stopy,pés,picioare,piedi,fötter
care,cura,cuidado,Pflege,se soucier,opieka,Cuidado,îngrijire,cura,vård
second,segon,segundo,zweite,deuxième,druga,segundo,al doilea,secondo,andra
enough,suficient,suficiente,genügend,suffisant,wystarczająco ,o suficiente,suficient,abbastanza,tillräckligt
plain,pla,sencillo,schmucklos,plaine,zwykły,avião,simplu,pianura,enkel
girl,noia,chica,Mädchen,fille,dziewczyna,menina,fată,ragazza,flicka
usual,habitual,habitual,üblich,habituel,zwykły,usual,ca de obicei,solito,vanliga
young,jove,joven,jung,Jeune,młody,jovem,tineri,giovane,ung
ready,llest,Listo,bereit,prêt,gotowy,pronto,gata,pronto,redo
above,persobre,arriba,Oben,au dessus,nad,acima de,de mai sus,sopra,ovan
ever,mai,alguna vez,je,déjà,zawsze,sempre,vreodată,mai,någonsin
red,vermell,rojo,rot,rouge,czerwony,vermelho,roșu,rosso,röd
list,llista,lista,aufführen,liste,lista,Lista,listă,elenco,lista
though,encara,aunque,obwohl,pourtant,chociaż,no entanto,deşi,anche se,fastän
feel,sentir,sentir,Gefühl,se sentir,czuć,sentir,simți,tatto,känna
talk,xerrada,hablar,sich unterhalten,parler,rozmowa,conversa,vorbi,parlare,prata
bird,ocell,pájaro,Vogel,oiseau,ptak,pássaro,pasăre,uccello,fågel
soon,aviat,pronto,demnächst,bientôt,wkrótce,em breve,curând,presto,snart
body,cos,cuerpo,Karosserie,corps,ciało,corpo,corp,corpo,kropp
dog,gos,perro,Hund,chien,pies,cão,câine,cane,hund
family,família,familia,Familie,famille,rodzina,família,familie,famiglia,familj
direct,directa,directo,Direkte,direct,bezpośredni,direto,direct,diretto,direkt
pose,plantejar,pose,Pose,pose,poza,pose,poză,posa,utgör
