angles,catala,espanyol,alemany,frances,polones,portugues,rus,italia,suec
as,com,como,wie,comme,jak,Como,в качестве,come,som
his,seva,su,seine,le sien,jego,seu,его,il suo,hans
that,que,que,das,ce,że,este,что,Quello,den där
he,ell,él,er,il,on,ele,он,lui,han
was,era,estaba,war,a été,był,foi,был,era,var
for,per,por,zum,pour,dla,por,за,per,för
on,en,en,an,sur,na ,sobre,на,Su,på
are,són,son,sind,sommes,są,são,находятся,sono,are
with,amb,con,mit,avec,z,com,с,insieme a,med
they,que,ellos,sie,elles ou ils,one,elas,Oни,essi,de
be,ser,ser,sein,être,być,ser,быть,essere,vara
at,en,a,bei,à,w,no,в,a,på
one,significarà,una,eines,une,jeden,um,один,uno,ett
have,tenir,tener,haben,ont,mieć,tenho,имеют,avere,ha
this,aquest,este,Dies,cette,ten,isto,это,questo,detta
from,des,de,aus,de,z,a partir de,из,da,från
by,per,por,durch,par,za pomocą,por,по,di,förbi
hot,calenta,caliente,heiß,chaud,gorący,quente,горячий,piccante,varm
word,paraula,palabra,Wort,mot,słowo,palavra,слово,parola,ord
but,però,pero,aber,mais,ale,mas,но,ma,men
what,ho,qué,was,Quel,Co,o que,какие,che cosa,Vad
some,alguns,alguno,etwas,quelques,niektóre,algum,немного,alcuni,några
is,és,es,ist,est,jest,é,является,è,är
it,el,eso,es,ce,to,isto,Это,esso,Det
you,vostè,tú,Sie,tu,ty,vocês,ты,voi,du
or,o,o,oder,ou,lub,ou,или же,o,eller
had,tingut,tenido,hatte,avais,miał,teve,было,avevo,ha
the,la,la,das,la,the,a,а,il,de
of,d’,de,von,de,z,do,из,di,av
to,a,a,zu,à,do,para,к,a,till
and,i,y,und,et,oraz,e,а также,e,och
a,ella,a,a,un,a,uma,а,un,en
in,en,en,in,dans,w,dentro,в,in,i
we,nosaltres,nosotros,wir,nous,my,nós,мы,noi,vi
can,pot,pueden,kann,boîte,Móc,posso,Можно,Potere,burk
out,sortida,afuera,aus,dehors,na zewnątrz,Fora,вне,fuori,ut
other,altre,otro,Sonstiges,autre,inny,outro,Другой,Altro,Övrig
were,eren,fueron,war,étaient,byli,nós estamos,мы,erano,var
which,que,cual,die,qui,który,que,который,quale,som
do,fer,hacer,tun,fais,robić,Faz,делать,fare,do
their,seva,sus,ihr,leur,ich,seus,их,i loro,deras
time,temps,tiempo,Zeit,temps,czas,Tempo,время,volta,tid
if,si,si,wenn,si,jeśli,E se,если,Se,om
will,farà,voluntad,Wille,sera,będzie,vai,будут,volere,kommer
